mapres10,papres10,paeduc,maeduc,educ,degree,born,reg16,incom16,father_factor,mother_factor,high_school
69,72,16,12,18,bachelor's,yes,middle atlantic,far below average,Above and Equal to Median,Above and Equal to Median,1
29,44,12,14,14,associate/junior college,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,1
47,39,12,12,12,high school,yes,middle atlantic,below average,Lower than Median,Above and Equal to Median,0
21,39,15,12,20,graduate,no,pacific,average,Lower than Median,Lower than Median,1
47,74,16,16,16,graduate,no,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
71,60,12,18,12,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
50,28,8,12,12,high school,yes,middle atlantic,far below average,Lower than Median,Above and Equal to Median,0
32,26,14,12,16,graduate,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
69,62,12,12,18,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,38,12,12,20,graduate,no,south atlantic,above average,Lower than Median,Above and Equal to Median,1
47,50,16,14,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,39,12,12,12,high school,yes,east north central,below average,Lower than Median,Above and Equal to Median,0
35,44,9,12,13,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
47,65,14,12,8,less than high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
35,36,12,12,13,high school,yes,new england,above average,Lower than Median,Lower than Median,0
45,62,12,16,17,bachelor's,yes,east south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
63,70,16,15,16,bachelor's,yes,mountain,above average,Above and Equal to Median,Above and Equal to Median,1
31,49,12,20,16,bachelor's,yes,mountain,far below average,Above and Equal to Median,Lower than Median,1
28,38,12,12,16,bachelor's,yes,pacific,average,Lower than Median,Lower than Median,1
61,73,18,16,20,graduate,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,1
33,24,6,12,12,high school,yes,pacific,average,Lower than Median,Lower than Median,0
38,48,12,14,17,bachelor's,yes,west north central,far below average,Above and Equal to Median,Lower than Median,1
24,28,12,14,14,high school,yes,pacific,far below average,Lower than Median,Lower than Median,0
35,32,15,12,14,high school,yes,pacific,below average,Lower than Median,Lower than Median,0
35,17,12,13,18,graduate,no,pacific,below average,Lower than Median,Lower than Median,1
67,63,16,16,16,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
61,32,17,16,16,bachelor's,no,pacific,below average,Lower than Median,Above and Equal to Median,1
45,35,10,12,13,high school,yes,mountain,above average,Lower than Median,Above and Equal to Median,0
61,72,13,18,16,bachelor's,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
47,60,16,12,14,high school,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,0
64,36,16,16,16,bachelor's,yes,east north central,far below average,Lower than Median,Above and Equal to Median,1
45,43,14,12,14,high school,yes,pacific,average,Lower than Median,Above and Equal to Median,0
24,27,0,3,3,less than high school,no,pacific,below average,Lower than Median,Lower than Median,0
31,28,14,12,13,high school,yes,east north central,far below average,Lower than Median,Lower than Median,0
38,40,9,6,14,associate/junior college,yes,pacific,below average,Lower than Median,Lower than Median,1
36,40,8,10,16,bachelor's,yes,west north central,below average,Lower than Median,Lower than Median,1
27,39,12,12,14,associate/junior college,yes,pacific,far below average,Lower than Median,Lower than Median,1
44,75,18,12,17,bachelor's,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,1
64,65,17,15,17,bachelor's,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,1
38,28,5,8,14,associate/junior college,yes,middle atlantic,far below average,Lower than Median,Lower than Median,1
38,31,12,12,15,associate/junior college,yes,middle atlantic,average,Lower than Median,Lower than Median,1
32,70,16,17,16,bachelor's,yes,pacific,average,Above and Equal to Median,Lower than Median,1
45,28,0,12,6,less than high school,yes,pacific,below average,Lower than Median,Above and Equal to Median,0
39,25,12,12,14,bachelor's,yes,pacific,average,Lower than Median,Above and Equal to Median,1
21,27,3,0,12,high school,no,pacific,below average,Lower than Median,Lower than Median,0
27,32,8,7,14,high school,no,pacific,average,Lower than Median,Lower than Median,0
43,72,16,12,16,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
38,38,14,13,12,high school,yes,east north central,above average,Lower than Median,Lower than Median,0
39,36,12,12,12,high school,yes,east north central,below average,Lower than Median,Above and Equal to Median,0
35,39,14,10,12,high school,yes,east north central,average,Lower than Median,Lower than Median,0
34,45,9,11,18,graduate,yes,east north central,far below average,Above and Equal to Median,Lower than Median,1
64,59,14,19,16,bachelor's,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,1
47,48,14,12,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
45,40,12,12,16,bachelor's,yes,east north central,average,Lower than Median,Above and Equal to Median,1
48,44,12,10,10,less than high school,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,0
22,72,16,13,18,bachelor's,yes,east north central,average,Above and Equal to Median,Lower than Median,1
31,35,13,14,12,high school,yes,east north central,below average,Lower than Median,Lower than Median,0
47,47,12,12,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
35,39,12,12,16,bachelor's,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
38,80,16,12,15,high school,yes,east north central,below average,Above and Equal to Median,Lower than Median,0
69,65,16,12,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
31,24,12,12,12,high school,yes,east north central,below average,Lower than Median,Lower than Median,0
48,24,15,16,13,high school,yes,east north central,below average,Lower than Median,Above and Equal to Median,0
46,46,12,16,14,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
31,39,11,9,15,associate/junior college,yes,east north central,below average,Lower than Median,Lower than Median,1
42,40,12,12,16,graduate,no,pacific,far below average,Lower than Median,Above and Equal to Median,1
47,43,12,12,14,associate/junior college,yes,east north central,above average,Lower than Median,Above and Equal to Median,1
38,60,14,12,18,graduate,yes,east north central,average,Above and Equal to Median,Lower than Median,1
64,48,14,14,18,graduate,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,61,16,16,17,bachelor's,yes,east north central,average,Above and Equal to Median,Lower than Median,1
48,40,8,12,18,bachelor's,yes,east north central,far below average,Lower than Median,Above and Equal to Median,1
32,35,12,14,13,high school,yes,east north central,above average,Lower than Median,Lower than Median,0
32,60,16,12,18,graduate,yes,east north central,average,Above and Equal to Median,Lower than Median,1
27,28,7,11,14,associate/junior college,yes,east north central,average,Lower than Median,Lower than Median,1
42,47,7,0,8,less than high school,no,pacific,far above average,Above and Equal to Median,Above and Equal to Median,0
69,53,16,12,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,39,16,10,12,high school,yes,south atlantic,below average,Lower than Median,Above and Equal to Median,0
45,39,16,14,14,associate/junior college,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
45,28,12,12,20,graduate,yes,east north central,below average,Lower than Median,Above and Equal to Median,1
36,70,16,16,15,high school,yes,south atlantic,above average,Above and Equal to Median,Lower than Median,0
64,39,10,13,20,graduate,no,pacific,below average,Lower than Median,Above and Equal to Median,1
32,30,12,12,20,graduate,no,pacific,below average,Lower than Median,Lower than Median,1
61,60,18,18,18,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
26,28,6,12,16,bachelor's,yes,south atlantic,above average,Lower than Median,Lower than Median,1
46,39,12,10,20,graduate,no,pacific,average,Lower than Median,Above and Equal to Median,1
80,74,18,16,16,graduate,yes,new england,average,Above and Equal to Median,Above and Equal to Median,1
38,35,12,9,18,graduate,yes,south atlantic,below average,Lower than Median,Lower than Median,1
52,65,16,12,18,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
33,39,12,16,18,graduate,no,middle atlantic,below average,Lower than Median,Lower than Median,1
61,72,16,16,16,bachelor's,no,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
16,28,12,12,13,high school,yes,south atlantic,far above average,Lower than Median,Lower than Median,0
31,46,16,14,13,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
39,70,16,12,16,bachelor's,no,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
31,39,12,12,16,bachelor's,yes,new england,average,Lower than Median,Lower than Median,1
64,39,16,16,13,high school,yes,middle atlantic,below average,Lower than Median,Above and Equal to Median,0
69,47,12,19,16,bachelor's,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
60,53,16,18,16,bachelor's,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,1
21,28,12,10,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
69,47,12,12,12,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
43,39,18,18,17,bachelor's,yes,new england,above average,Lower than Median,Above and Equal to Median,1
64,50,15,16,16,graduate,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
54,31,12,18,16,bachelor's,yes,new england,above average,Lower than Median,Above and Equal to Median,1
37,47,16,15,19,graduate,yes,east north central,average,Above and Equal to Median,Lower than Median,1
72,64,18,16,18,graduate,yes,new england,above average,Above and Equal to Median,Above and Equal to Median,1
48,40,12,10,18,graduate,yes,new england,average,Lower than Median,Above and Equal to Median,1
61,66,16,16,16,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
64,39,16,16,16,bachelor's,no,middle atlantic,average,Lower than Median,Above and Equal to Median,1
33,29,10,12,12,high school,yes,new england,average,Lower than Median,Lower than Median,0
50,28,10,12,16,bachelor's,yes,new england,below average,Lower than Median,Above and Equal to Median,1
35,43,12,8,12,high school,yes,new england,average,Lower than Median,Lower than Median,0
31,35,12,12,11,less than high school,yes,new england,below average,Lower than Median,Lower than Median,0
31,35,8,13,16,bachelor's,yes,new england,average,Lower than Median,Lower than Median,1
31,28,14,12,14,associate/junior college,yes,new england,average,Lower than Median,Lower than Median,1
39,60,12,12,19,graduate,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
21,36,8,16,16,graduate,yes,new england,below average,Lower than Median,Lower than Median,1
69,35,12,14,12,high school,yes,new england,below average,Lower than Median,Above and Equal to Median,0
64,60,16,16,20,graduate,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,1
46,44,12,14,14,high school,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,0
32,53,18,16,16,bachelor's,yes,pacific,above average,Above and Equal to Median,Lower than Median,1
45,53,16,13,19,graduate,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
25,44,11,5,14,high school,yes,pacific,below average,Above and Equal to Median,Lower than Median,0
53,62,16,20,12,high school,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,0
47,28,12,12,14,associate/junior college,yes,pacific,average,Lower than Median,Above and Equal to Median,1
25,28,6,14,16,bachelor's,yes,pacific,average,Lower than Median,Lower than Median,1
46,72,16,16,20,graduate,yes,new england,above average,Above and Equal to Median,Above and Equal to Median,1
64,80,20,16,17,bachelor's,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
47,69,18,12,14,high school,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,0
45,66,20,10,19,graduate,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,1
25,28,15,16,16,associate/junior college,no,pacific,far below average,Lower than Median,Lower than Median,1
47,36,10,18,16,bachelor's,yes,west south central,below average,Lower than Median,Above and Equal to Median,1
32,45,14,13,18,graduate,yes,west south central,below average,Above and Equal to Median,Lower than Median,1
61,67,16,20,16,bachelor's,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
38,41,0,0,14,high school,yes,west south central,below average,Lower than Median,Lower than Median,0
64,69,19,15,16,bachelor's,yes,west south central,far below average,Above and Equal to Median,Above and Equal to Median,1
61,44,16,12,16,bachelor's,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
25,35,8,8,12,high school,yes,east north central,below average,Lower than Median,Lower than Median,0
32,33,18,16,16,bachelor's,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
53,50,12,12,18,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
31,60,18,12,18,bachelor's,yes,east north central,average,Above and Equal to Median,Lower than Median,1
47,48,19,12,12,high school,no,pacific,average,Above and Equal to Median,Above and Equal to Median,0
46,34,16,16,13,high school,yes,west south central,far below average,Lower than Median,Above and Equal to Median,0
50,48,12,12,14,high school,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,0
64,46,18,12,12,less than high school,no,west south central,far above average,Above and Equal to Median,Above and Equal to Median,0
38,40,12,16,13,high school,yes,mountain,far below average,Lower than Median,Lower than Median,0
38,52,7,12,10,less than high school,yes,west south central,below average,Above and Equal to Median,Lower than Median,0
31,62,12,12,14,high school,yes,south atlantic,below average,Above and Equal to Median,Lower than Median,0
32,35,12,12,13,high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
61,28,9,15,16,graduate,no,pacific,far below average,Lower than Median,Above and Equal to Median,1
31,60,18,16,17,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
53,67,16,16,16,high school,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
38,72,12,12,12,high school,yes,east north central,above average,Above and Equal to Median,Lower than Median,0
32,53,12,12,16,bachelor's,no,pacific,average,Above and Equal to Median,Lower than Median,1
25,46,14,12,12,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
47,53,16,14,20,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
58,35,12,12,10,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
48,33,5,12,12,high school,yes,middle atlantic,below average,Lower than Median,Above and Equal to Median,0
46,27,12,18,14,high school,yes,middle atlantic,above average,Lower than Median,Above and Equal to Median,0
48,49,13,14,18,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
36,35,12,12,16,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
25,35,7,9,12,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
61,60,16,12,9,high school,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,0
49,35,12,12,14,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
25,28,20,16,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
25,27,0,0,6,less than high school,yes,west south central,above average,Lower than Median,Lower than Median,0
36,49,12,12,12,high school,yes,west south central,below average,Above and Equal to Median,Lower than Median,0
31,28,12,12,12,high school,yes,west south central,far above average,Lower than Median,Lower than Median,0
21,38,12,10,14,high school,yes,west south central,average,Lower than Median,Lower than Median,0
42,32,9,6,13,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
25,37,12,14,19,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
46,70,14,12,12,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
38,38,14,12,16,bachelor's,no,south atlantic,above average,Lower than Median,Lower than Median,1
24,24,0,0,0,less than high school,no,south atlantic,far below average,Lower than Median,Lower than Median,0
46,38,12,13,15,associate/junior college,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
48,33,12,14,12,high school,yes,pacific,far below average,Lower than Median,Above and Equal to Median,0
31,28,0,0,14,high school,no,pacific,below average,Lower than Median,Lower than Median,0
64,28,14,14,12,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
55,31,16,16,17,graduate,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
47,35,12,12,13,high school,no,pacific,below average,Lower than Median,Above and Equal to Median,0
60,61,17,15,18,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
25,44,13,12,17,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
38,47,12,12,12,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
59,46,17,14,20,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
32,35,12,12,14,high school,yes,pacific,below average,Lower than Median,Lower than Median,0
48,50,14,15,14,high school,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,0
25,35,10,12,16,graduate,yes,south atlantic,below average,Lower than Median,Lower than Median,1
64,27,3,16,18,graduate,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
61,60,16,18,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
45,38,12,17,14,high school,yes,south atlantic,far below average,Lower than Median,Above and Equal to Median,0
60,45,12,18,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
45,36,8,12,12,high school,yes,south atlantic,below average,Lower than Median,Above and Equal to Median,0
39,35,12,12,15,high school,no,pacific,below average,Lower than Median,Above and Equal to Median,0
59,34,17,17,17,bachelor's,no,pacific,above average,Lower than Median,Above and Equal to Median,1
39,46,14,14,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
35,60,16,12,16,bachelor's,yes,east north central,average,Above and Equal to Median,Lower than Median,1
49,35,12,12,16,graduate,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
36,35,13,14,16,bachelor's,yes,east north central,below average,Lower than Median,Lower than Median,1
28,39,12,12,14,associate/junior college,no,east north central,above average,Lower than Median,Lower than Median,1
74,54,18,20,19,graduate,no,east north central,average,Above and Equal to Median,Above and Equal to Median,1
47,35,12,12,14,associate/junior college,yes,east north central,average,Lower than Median,Above and Equal to Median,1
47,38,16,11,13,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
45,53,12,16,20,graduate,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,44,14,14,12,high school,yes,east north central,below average,Above and Equal to Median,Lower than Median,0
32,28,12,12,15,high school,yes,east north central,average,Lower than Median,Lower than Median,0
54,68,16,16,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
64,71,20,18,12,high school,no,east north central,below average,Above and Equal to Median,Above and Equal to Median,0
21,35,12,12,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
43,46,12,12,18,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
64,25,8,12,16,bachelor's,yes,pacific,average,Lower than Median,Above and Equal to Median,1
27,31,12,0,16,bachelor's,no,pacific,average,Lower than Median,Lower than Median,1
37,28,7,12,18,bachelor's,yes,east north central,average,Lower than Median,Lower than Median,1
47,27,12,12,14,associate/junior college,yes,pacific,average,Lower than Median,Above and Equal to Median,1
35,31,12,12,14,associate/junior college,yes,west north central,below average,Lower than Median,Lower than Median,1
45,53,12,12,12,high school,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,0
45,35,12,12,12,high school,yes,pacific,above average,Lower than Median,Above and Equal to Median,0
45,44,12,15,17,bachelor's,no,pacific,far below average,Above and Equal to Median,Above and Equal to Median,1
45,47,8,10,16,graduate,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
48,53,16,16,16,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
45,45,16,16,16,graduate,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
47,51,18,9,20,graduate,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
64,80,20,15,20,bachelor's,no,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
40,80,20,16,19,graduate,no,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
25,41,16,12,14,high school,yes,pacific,below average,Lower than Median,Lower than Median,0
45,28,12,15,12,high school,yes,west south central,far below average,Lower than Median,Above and Equal to Median,0
63,44,14,14,16,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
42,28,12,12,12,high school,yes,middle atlantic,below average,Lower than Median,Above and Equal to Median,0
48,27,14,8,12,high school,yes,mountain,average,Lower than Median,Above and Equal to Median,0
38,38,16,16,16,bachelor's,yes,east north central,above average,Lower than Median,Lower than Median,1
53,66,16,12,15,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
33,35,13,9,16,bachelor's,yes,mountain,below average,Lower than Median,Lower than Median,1
28,49,12,12,11,high school,yes,mountain,average,Above and Equal to Median,Lower than Median,0
61,31,8,18,16,bachelor's,yes,west north central,average,Lower than Median,Above and Equal to Median,1
31,75,10,12,15,associate/junior college,yes,pacific,below average,Above and Equal to Median,Lower than Median,1
48,49,16,12,15,high school,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,0
31,32,13,12,13,high school,yes,mountain,below average,Lower than Median,Lower than Median,0
26,48,9,13,12,high school,yes,mountain,below average,Above and Equal to Median,Lower than Median,0
69,69,20,20,18,bachelor's,yes,west south central,far above average,Above and Equal to Median,Above and Equal to Median,1
53,70,12,12,19,graduate,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,1
60,47,16,17,18,graduate,yes,west north central,far above average,Above and Equal to Median,Above and Equal to Median,1
47,70,16,12,18,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
36,70,17,12,15,high school,yes,west north central,above average,Above and Equal to Median,Lower than Median,0
40,36,8,12,15,associate/junior college,yes,west north central,average,Lower than Median,Above and Equal to Median,1
27,64,18,16,18,bachelor's,yes,east north central,above average,Above and Equal to Median,Lower than Median,1
47,35,12,12,13,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
47,50,10,12,13,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
61,61,16,16,16,bachelor's,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,1
35,25,0,0,13,high school,no,pacific,below average,Lower than Median,Lower than Median,0
48,31,15,8,15,high school,no,pacific,below average,Lower than Median,Above and Equal to Median,0
36,39,6,9,13,high school,yes,pacific,above average,Lower than Median,Lower than Median,0
54,47,12,6,20,bachelor's,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,1
39,43,12,12,16,bachelor's,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
60,49,16,16,16,bachelor's,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,1
64,80,20,17,17,bachelor's,yes,mountain,above average,Above and Equal to Median,Above and Equal to Median,1
48,74,16,14,16,bachelor's,yes,mountain,far below average,Above and Equal to Median,Above and Equal to Median,1
47,60,16,9,17,bachelor's,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
46,35,14,14,16,bachelor's,yes,mountain,below average,Lower than Median,Above and Equal to Median,1
39,43,16,16,16,bachelor's,no,mountain,above average,Lower than Median,Above and Equal to Median,1
51,73,16,16,16,bachelor's,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,1
64,31,12,12,16,graduate,yes,mountain,average,Lower than Median,Above and Equal to Median,1
38,45,12,11,12,high school,yes,east north central,below average,Above and Equal to Median,Lower than Median,0
64,56,20,17,18,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
69,39,12,14,16,bachelor's,yes,east north central,above average,Lower than Median,Above and Equal to Median,1
47,50,14,14,15,associate/junior college,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,30,12,13,16,bachelor's,yes,east north central,below average,Lower than Median,Lower than Median,1
48,35,14,12,12,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
27,35,12,12,13,high school,yes,east north central,below average,Lower than Median,Lower than Median,0
47,45,12,12,12,high school,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,0
69,38,14,12,18,graduate,yes,west north central,average,Lower than Median,Above and Equal to Median,1
37,45,18,16,14,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
62,31,16,16,16,associate/junior college,yes,east north central,far below average,Lower than Median,Above and Equal to Median,1
39,35,12,16,12,high school,yes,west north central,below average,Lower than Median,Above and Equal to Median,0
61,70,18,16,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
53,73,14,14,20,graduate,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
31,45,12,11,13,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
46,49,12,12,12,high school,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,0
64,39,16,17,19,graduate,yes,east north central,average,Lower than Median,Above and Equal to Median,1
49,49,12,12,13,high school,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,0
69,48,8,12,12,high school,yes,east south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
47,75,13,12,17,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
35,35,12,12,19,graduate,yes,east north central,average,Lower than Median,Lower than Median,1
31,36,12,12,19,graduate,yes,south atlantic,below average,Lower than Median,Lower than Median,1
64,60,18,16,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
51,53,18,20,19,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
64,80,20,20,14,high school,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
31,35,12,12,13,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
43,45,12,12,17,bachelor's,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
35,28,8,10,14,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
21,27,8,12,16,high school,yes,south atlantic,below average,Lower than Median,Lower than Median,0
47,31,12,12,14,high school,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,0
47,48,12,14,18,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
39,44,12,13,14,high school,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,0
48,45,5,14,16,bachelor's,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
47,32,12,14,14,associate/junior college,yes,pacific,below average,Lower than Median,Above and Equal to Median,1
47,46,19,18,14,high school,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,0
38,72,16,16,17,bachelor's,yes,pacific,above average,Above and Equal to Median,Lower than Median,1
